Week,30 yr FRM,30 yr fees and points,15 yr FRM,15 yr fees and points,5/1 ARM,5/1 ARM fees and points,5/1  ARM margin,1  yr ARM,1 yr ARM fees and points,1 yr ARM margin,30 yr FRM 1 yr ARM spread
8-Jan,3.73,0.6,3.05,0.5,2.98,0.5,2.74,2.39,0.4,2.73,1.34
15-Jan,3.66,0.6,2.98,0.5,2.9,0.4,2.74,2.37,0.4,2.74,1.29
22-Jan,3.63,0.7,2.93,0.6,2.83,0.4,2.74,2.37,0.4,2.74,1.26
29-Jan,3.66,0.6,2.98,0.5,2.86,0.4,2.74,2.38,0.4,2.74,1.28
5-Feb,3.59,0.7,2.92,0.6,2.82,0.4,2.74,2.39,0.4,2.74,1.2
12-Feb,3.69,0.6,2.99,0.6,2.97,0.5,2.74,2.42,0.4,2.74,1.27
19-Feb,3.76,0.6,3.05,0.6,2.97,0.5,2.74,2.45,0.4,2.74,1.31
26-Feb,3.8,0.6,3.07,0.6,2.99,0.5,2.74,2.44,0.4,2.74,1.36
5-Mar,3.75,0.6,3.03,0.6,2.96,0.5,2.74,2.44,0.4,2.74,1.31
12-Mar,3.86,0.6,3.1,0.6,3.01,0.5,2.74,2.46,0.4,2.74,1.4
19-Mar,3.78,0.6,3.06,0.6,2.97,0.5,2.74,2.46,0.4,2.73,1.32
26-Mar,3.69,0.6,2.97,0.6,2.92,0.4,2.74,2.46,0.4,2.74,1.23
2-Apr,3.7,0.6,2.98,0.6,2.92,0.5,2.74,2.46,0.4,2.74,1.24
9-Apr,3.66,0.6,2.93,0.6,2.83,0.5,2.73,2.46,0.4,2.74,1.2
16-Apr,3.67,0.7,2.94,0.5,2.88,0.5,2.74,2.46,0.4,2.74,1.21
23-Apr,3.65,0.6,2.92,0.6,2.84,0.4,2.74,2.44,0.4,2.74,1.21
30-Apr,3.68,0.6,2.94,0.6,2.85,0.5,2.73,2.49,0.4,2.74,1.19
7-May,3.8,0.6,3.02,0.6,2.9,0.4,2.73,2.46,0.4,2.74,1.34
14-May,3.85,0.6,3.07,0.5,2.89,0.5,2.74,2.48,0.4,2.74,1.37
21-May,3.84,0.7,3.05,0.6,2.88,0.5,2.74,2.51,0.4,2.74,1.33
28-May,3.87,0.6,3.11,0.5,2.9,0.5,2.74,2.5,0.3,2.74,1.37
4-Jun,3.87,0.6,3.08,0.5,2.96,0.5,2.74,2.59,0.2,2.74,1.28
11-Jun,4.04,0.6,3.25,0.6,3.01,0.4,2.74,2.53,0.2,2.74,1.51
18-Jun,4,0.7,3.23,0.5,3,0.4,2.74,2.53,0.2,2.74,1.47
25-Jun,4.02,0.7,3.21,0.6,2.98,0.4,2.74,2.5,0.3,2.74,1.52
2-Jul,4.08,0.6,3.24,0.6,2.99,0.4,2.73,2.52,0.3,2.74,1.56
9-Jul,4.04,0.6,3.2,0.5,2.93,0.4,2.74,2.5,0.3,2.74,1.54
16-Jul,4.09,0.6,3.25,0.6,2.96,0.5,2.74,2.5,0.3,2.74,1.59
23-Jul,4.04,0.6,3.21,0.6,2.97,0.5,2.74,2.54,0.3,2.74,1.5
30-Jul,3.98,0.6,3.17,0.6,2.95,0.4,2.74,2.52,0.3,2.74,1.46
6-Aug,3.91,0.6,3.13,0.6,2.95,0.4,2.74,2.54,0.3,2.74,1.37
13-Aug,3.94,0.6,3.17,0.6,2.93,0.5,2.74,2.62,0.3,2.74,1.32
20-Aug,3.93,0.6,3.15,0.6,2.94,0.5,2.74,2.62,0.3,2.74,1.31
27-Aug,3.84,0.6,3.06,0.6,2.9,0.4,2.74,2.62,0.3,2.74,1.22
3-Sep,3.89,0.6,3.09,0.6,2.93,0.4,2.74,2.62,0.3,2.74,1.27
10-Sep,3.9,0.6,3.1,0.7,2.91,0.5,2.74,2.63,0.3,2.74,1.27
17-Sep,3.91,0.6,3.11,0.6,2.92,0.5,2.74,2.56,0.2,2.74,1.35
24-Sep,3.86,0.7,3.08,0.6,2.91,0.5,2.74,2.53,0.2,2.74,1.33
1-Oct,3.85,0.6,3.07,0.7,2.91,0.4,2.74,2.53,0.2,2.74,1.32
8-Oct,3.76,0.6,2.99,0.6,2.88,0.4,2.74,2.55,0.2,2.74,1.21
15-Oct,3.82,0.6,3.03,0.6,2.88,0.4,2.74,2.54,0.2,2.74,1.28
22-Oct,3.79,0.6,2.98,0.5,2.89,0.4,2.74,2.62,0.2,2.74,1.17
29-Oct,3.76,0.6,2.98,0.6,2.89,0.4,2.74,2.54,0.2,2.74,1.22
5-Nov,3.87,0.6,3.09,0.6,2.96,0.4,2.75,2.62,0.2,2.74,1.25
12-Nov,3.98,0.6,3.2,0.6,3.03,0.4,2.75,2.65,0.2,2.74,1.33
19-Nov,3.97,0.6,3.18,0.5,2.98,0.5,2.75,2.64,0.3,2.74,1.33
25-Nov,3.95,0.7,3.18,0.6,3.01,0.5,2.75,2.59,0.3,2.74,1.36
3-Dec,3.93,0.6,3.16,0.5,2.99,0.5,2.75,2.61,0.3,2.74,1.32
10-Dec,3.95,0.6,3.19,0.5,3.03,0.5,2.75,2.64,0.2,2.74,1.31
17-Dec,3.97,0.6,3.22,0.5,3.03,0.4,2.75,2.67,0.2,2.74,1.3
24-Dec,3.96,0.6,3.22,0.6,3.06,0.4,2.75,2.68,0.2,2.74,1.28
31-Dec,4.01,0.6,3.24,0.6,3.08,0.4,2.74,2.68,0.2,2.74,1.33
